year,state,cityname,population2010,bingedrinking,smokingrate,nophysicalactivity,obesityrate,sleepdeprivation
2014,FL,Largo,77648,20.2,23.9,22.3,28.0,37.5
2014,FL,Lauderhill,66887,13.5,22.6,29.4,34.7,45.8
2014,FL,Melbourne,76068,20.5,21.6,22.7,25.0,37.8
2014,FL,Miami,399457,14.3,18.9,32.8,32.1,37.4
2014,FL,Miami Beach,87779,17.0,15.1,23.4,25.8,32.8
2014,FL,Miami Gardens,107167,12.9,21.9,31.4,35.5,43.7
2014,FL,Miramar,122041,16.2,14.6,22.4,27.5,39.6
2014,FL,Orlando,238300,16.8,18.9,26.3,28.6,36.0
2014,FL,Palm Bay,103190,19.6,23.1,24.9,27.0,39.5
2014,FL,Palm Coast,75180,18.5,20.8,23.2,26.1,35.6
2014,FL,Pembroke Pines,154750,17.6,13.8,21.0,24.7,36.5
2014,FL,Plantation,84955,18.3,14.6,19.0,23.7,35.7
2014,FL,Pompano Beach,99845,16.5,21.8,26.6,29.4,40.0
2014,FL,Port St. Lucie,164603,18.8,21.2,23.4,27.3,37.1
2014,FL,St. Petersburg,244769,19.5,22.3,21.5,29.0,38.3
2014,FL,Sunrise,84439,16.9,17.2,23.5,27.1,38.9
2014,FL,Tallahassee,181376,17.4,18.9,21.7,28.7,36.6
2014,FL,Tampa,335709,17.5,19.9,23.3,30.6,37.9
2014,FL,West Palm Beach,99919,16.1,19.5,24.9,27.2,40.6
2014,GA,Albany,77434,10.9,23.7,33.1,40.4,46.9
2014,GA,Athens,115452,13.2,18.9,26.5,32.2,38.5
2014,GA,Atlanta,420003,14.1,16.6,22.4,31.6,40.4
2014,GA,Augusta,195844,12.5,21.8,28.1,36.0,44.1
2014,GA,Columbus,189885,13.5,20.3,25.8,33.2,42.9
2014,GA,Johns Creek,76728,15.8,10.1,14.1,19.0,32.9
2014,GA,Macon,91351,11.2,25.9,34.5,42.9,46.0
2014,GA,Roswell,88346,16.9,12.2,15.7,23.3,33.4
2014,GA,Sandy Springs,93853,15.8,12.3,15.9,24.2,34.3
2014,GA,Savannah,136286,13.5,21.0,26.9,36.0,44.6
2014,GA,Warner Robins,66588,13.3,19.3,26.9,33.6,40.7
2014,HI,Honolulu,953207,19.0,15.5,22.2,22.1,48.0
2014,IA,Cedar Rapids,126326,20.5,18.7,23.1,32.0,29.0
2014,IA,Davenport,99685,20.9,20.9,23.4,33.3,33.2
2014,IA,Des Moines,203433,18.3,22.9,25.2,32.6,31.3
2014,IA,Iowa City,67862,20.1,16.3,19.9,28.5,27.4
2014,IA,Sioux City,82684,19.7,22.8,27.7,35.5,33.2
2014,IA,Waterloo,68406,21.1,21.6,25.3,35.3,33.5
2014,ID,Boise City,205671,15.8,16.4,16.4,25.8,28.9
2014,ID,Meridian,75092,16.6,15.9,15.5,24.8,28.5
2014,ID,Nampa,81557,14.2,21.0,23.3,35.1,34.3
2014,IL,Arlington Heights,75101,23.6,14.1,17.0,21.5,30.2
2014,IL,Aurora,197899,18.5,17.6,27.0,32.0,35.5
2014,IL,Bloomington,76610,19.5,16.9,21.7,29.1,33.1
2014,IL,Bolingbrook,73366,19.2,16.2,23.8,31.8,37.8
2014,IL,Champaign,81055,18.6,16.8,22.4,30.2,33.6
2014,IL,Chicago,2695598,18.7,19.1,27.6,31.3,37.4
2014,IL,Cicero,83891,18.5,19.9,34.8,33.9,37.1
2014,IL,Decatur,76122,18.4,23.4,28.1,35.3,36.6
2014,IL,Elgin,108188,19.7,17.7,25.8,30.8,35.1
2014,IL,Evanston,74486,20.9,13.6,18.0,24.0,32.0
2014,IL,Joliet,147433,19.8,19.5,26.4,35.2,38.1
2014,IL,Naperville,141853,20.6,11.3,15.9,22.7,30.5
2014,IL,Palatine,68557,22.2,14.9,19.3,22.8,31.4
2014,IL,Peoria,115007,18.4,20.0,25.6,34.2,37.1
2014,IL,Rockford,152871,18.0,22.4,31.1,37.5,37.3
2014,IL,Schaumburg,74227,21.6,14.4,19.1,21.1,32.1
2014,IL,Springfield,116250,19.1,19.9,24.7,32.2,34.8
2014,IL,Waukegan,89078,16.4,20.3,32.6,35.6,37.3
2014,IN,Bloomington,80405,13.9,19.8,23.1,29.0,35.1
2014,IN,Carmel,79191,17.1,11.8,15.0,24.6,29.0
2014,IN,Evansville,117429,15.8,25.3,28.9,35.1,39.3
2014,IN,Fishers,76794,17.5,12.6,15.4,25.7,29.6
2014,IN,Fort Wayne,253691,14.9,23.7,26.2,33.4,36.3
2014,IN,Gary,80294,10.3,31.4,37.3,46.9,52.0
2014,IN,Hammond,80830,13.7,27.2,32.2,37.5,43.6
2014,IN,Indianapolis,820445,14.9,23.9,27.6,34.9,39.2
2014,IN,Lafayette,67140,14.8,23.2,25.4,31.8,38.0
2014,IN,Muncie,70085,13.1,27.9,30.8,36.7,39.5
2014,IN,South Bend,101168,13.6,25.0,29.6,37.3,40.6
2014,KS,Kansas City,145786,14.3,25.2,32.2,38.2,36.5
2014,KS,Lawrence,87643,16.8,17.3,20.2,28.2,28.2
2014,KS,Olathe,125872,18.0,15.2,19.6,27.3,27.7
2014,KS,Overland Park,173372,17.9,12.9,17.1,25.3,26.4
2014,KS,Topeka,127473,14.6,24.1,26.1,34.9,31.4
2014,KS,Wichita,382368,13.9,20.8,25.8,34.3,32.7
2014,KY,Lexington,295803,12.4,23.2,26.3,30.8,37.4
2014,KY,Louisville,597337,14.6,25.5,27.8,32.9,37.8
2014,LA,Baton Rouge,229493,15.7,22.8,30.4,36.8,36.6
2014,LA,Kenner,66702,17.6,21.0,29.1,36.7,37.6
2014,LA,Lafayette,120623,17.2,23.8,27.8,34.1,35.0
2014,LA,Lake Charles,71993,15.3,28.0,32.5,36.9,39.0
