Year,StateAbbr,CityName,Population2010,CityFIPS,Binge drinking among adults aged >=18 Years,Current smoking among adults aged >=18 Years,No leisure-time physical activity among adults aged >=18 Years,Obesity among adults aged >=18 Years,Sleeping less than 7 hours among adults aged >=18 Years
2014,CA,Modesto,201165,648354,16.4,18.0,25.6,30.0,35.5
2014,CA,Moreno Valley,193365,649270,14.8,17.7,29.3,31.7,40.1
2014,CA,Mountain View,74066,649670,15.7,9.4,15.7,18.4,31.0
2014,CA,Murrieta,103466,650076,17.8,14.5,20.3,24.8,35.7
2014,CA,Napa,76915,650258,17.8,15.5,21.6,26.1,30.9
2014,CA,Newport Beach,85186,651182,20.5,10.5,13.8,17.8,27.7
2014,CA,Norwalk,105549,652526,15.3,14.4,26.0,26.5,37.9
2014,CA,Oakland,390724,653000,14.0,15.2,24.5,25.8,36.0
2014,CA,Oceanside,167086,653322,18.0,15.3,22.6,24.4,35.4
2014,CA,Ontario,163924,653896,15.5,16.2,27.1,28.4,37.5
2014,CA,Orange,136416,653980,18.2,14.0,21.5,21.6,31.8
2014,CA,Oxnard,197899,654652,15.3,15.5,29.2,27.8,32.5
2014,CA,Palmdale,152750,655156,15.2,17.5,27.0,29.6,39.0
2014,CA,Pasadena,137122,656000,16.0,12.4,19.2,23.0,35.0
2014,CA,Perris,68386,656700,14.3,18.7,33.3,34.0,40.6
2014,CA,Pleasanton,70285,657792,17.3,10.2,15.1,17.5,29.6
2014,CA,Pomona,149058,658072,14.5,16.3,28.5,29.2,38.8
2014,CA,Rancho Cucamonga,165269,659451,17.5,13.1,18.8,23.0,34.7
2014,CA,Redding,89861,659920,17.7,18.6,20.7,27.1,33.7
2014,CA,Redlands,68747,659962,17.3,13.7,18.9,23.2,34.0
2014,CA,Redondo Beach,66748,660018,18.9,10.5,13.9,19.3,31.8
2014,CA,Redwood City,76815,660102,17.1,12.4,19.9,23.7,31.5
2014,CA,Rialto,99171,660466,14.9,17.3,28.6,30.8,39.0
2014,CA,Richmond,103701,660620,14.0,16.2,27.3,32.5,39.7
2014,CA,Riverside,303871,662000,15.6,16.9,26.7,29.4,38.0
2014,CA,Roseville,118788,662938,19.0,13.9,17.7,22.6,31.3
2014,CA,Sacramento,466488,664000,14.9,17.9,24.1,27.3,34.6
2014,CA,Salinas,150441,664224,15.4,17.6,30.1,29.8,35.4
2014,CA,San Bernardino,209924,665000,14.0,20.0,31.5,32.2,39.9
2014,CA,San Buenaventura (Ventura),106433,665042,18.3,13.7,19.6,23.5,29.0
2014,CA,San Diego,1307402,666000,17.3,13.1,21.0,22.2,34.6
2014,CA,San Francisco,805235,667000,16.6,12.8,20.1,18.4,33.6
2014,CA,San Jose,945942,668000,14.1,12.2,21.7,20.5,34.6
2014,CA,San Leandro,84950,668084,14.2,13.9,23.4,21.4,35.1
2014,CA,San Marcos,83781,668196,17.6,14.7,22.6,23.7,34.9
2014,CA,San Mateo,97207,668252,16.9,11.3,18.3,21.1,31.4
2014,CA,San Ramon,72148,668378,16.4,8.9,14.8,19.3,32.0
2014,CA,Santa Ana,324528,669000,15.2,17.1,32.5,26.9,35.7
2014,CA,Santa Barbara,88410,669070,17.2,13.5,19.0,23.7,31.2
2014,CA,Santa Clara,116468,669084,14.4,10.3,17.8,18.1,32.9
2014,CA,Santa Clarita,176320,669088,18.1,13.5,18.2,22.7,34.4
2014,CA,Santa Maria,99553,669196,14.5,18.3,30.0,29.3,35.9
2014,CA,Santa Monica,89736,670000,18.1,10.7,14.2,20.3,31.6
2014,CA,Santa Rosa,167815,670098,16.7,15.1,20.1,23.2,31.0
2014,CA,Simi Valley,124237,672016,18.5,13.2,18.8,21.6,29.0
2014,CA,South Gate,94396,673080,14.6,16.5,31.9,31.8,38.7
2014,CA,Stockton,291707,675000,13.6,18.0,31.0,29.4,38.0
2014,CA,Sunnyvale,140081,677000,14.1,9.3,16.9,16.9,32.2
2014,CA,Temecula,100097,678120,18.0,14.3,19.9,24.3,35.4
2014,CA,Thousand Oaks,126683,678582,18.6,11.8,16.8,20.4,27.6
2014,CA,Torrance,145438,680000,15.7,11.0,17.4,17.7,34.8
2014,CA,Tracy,82922,680238,16.5,15.2,24.5,26.1,35.1
2014,CA,Turlock,68549,680812,17.1,17.1,24.1,28.8,34.5
2014,CA,Tustin,75540,680854,16.5,13.3,22.4,20.5,32.3
2014,CA,Union City,69516,681204,12.8,11.8,22.9,17.3,35.0
2014,CA,Upland,73732,681344,16.6,14.3,20.8,24.5,35.2
2014,CA,Vacaville,92428,681554,19.0,15.6,19.8,26.2,33.5
2014,CA,Vallejo,115942,681666,14.5,15.8,24.6,26.6,36.9
2014,CA,Victorville,115903,682590,15.1,19.1,27.8,30.4,39.2
2014,CA,Visalia,124442,682954,16.3,15.7,25.1,29.4,32.8
2014,CA,Vista,93834,682996,17.4,16.6,25.4,26.3,36.2
2014,CA,West Covina,106098,684200,14.8,12.3,22.8,22.3,37.1
2014,CA,Westminster,89701,684550,13.5,15.8,28.7,18.4,36.2
2014,CA,Whittier,85331,685292,17.1,12.9,21.5,25.7,35.2
2014,CO,Arvada,106433,803455,20.4,16.5,14.4,20.0,26.6
2014,CO,Aurora,325078,804000,16.5,18.2,19.9,25.8,33.2
2014,CO,Boulder,97385,807850,17.6,12.1,11.6,16.6,25.4
2014,CO,Centennial,100377,812815,19.8,12.7,12.2,19.3,27.9
2014,CO,Colorado Springs,416427,816000,15.2,17.2,17.0,23.3,30.0
2014,CO,Denver,600158,820000,19.9,17.0,16.7,19.7,28.1
2014,CO,Fort Collins,143986,827425,18.0,14.7,14.5,20.1,24.5
2014,CO,Greeley,92889,832155,16.1,18.6,22.1,27.0,31.7
2014,CO,Lakewood,142980,843000,19.4,16.8,15.7,20.9,27.1
2014,CO,Longmont,86270,845970,17.6,14.5,14.8,18.2,27.2
2014,CO,Loveland,66859,846465,18.9,15.7,15.1,20.1,24.8
2014,CO,Pueblo,106595,862000,14.5,20.5,23.8,30.6,35.0
2014,CO,Thornton,118772,877290,17.5,18.5,18.2,25.1,31.1
2014,CO,Westminster,106114,883835,18.7,17.0,16.1,22.3,28.9
2014,CT,Bridgeport,144229,908000,14.4,22.6,29.7,32.5,40.6
2014,CT,Danbury,80893,918430,17.2,19.2,22.6,25.1,35.4
2014,CT,Hartford,124775,937000,12.3,21.6,33.8,38.6,42.0
2014,CT,New Britain,73206,950370,14.7,19.7,27.7,32.4,37.4
2014,CT,New Haven,129779,952000,12.9,19.6,28.1,35.3,42.6
2014,CT,Norwalk,85603,955990,17.6,16.4,19.8,24.6,34.4
2014,CT,Stamford,122643,973000,17.1,16.0,20.0,24.2,34.3
2014,CT,Waterbury,110366,980000,13.8,21.9,29.0,34.5,41.9
2014,DC,Washington,601723,1150000,20.3,18.0,20.5,25.4,35.2
2014,DE,Wilmington,70851,1077580,14.7,24.6,31.4,39.3,44.2
2014,FL,Boca Raton,84392,1207300,18.9,15.1,17.6,20.9,34.8
2014,FL,Boynton Beach,68217,1207875,16.4,20.6,24.5,26.7,40.7
2014,FL,Cape Coral,154305,1210275,19.5,20.6,20.8,25.5,34.0
2014,FL,Clearwater,107685,1212875,20.0,22.6,21.9,28.5,37.3
2014,FL,Coral Springs,121096,1214400,18.1,15.5,20.4,24.1,36.2
2014,FL,Davie,91992,1216475,18.4,15.6,20.5,23.7,35.3
2014,FL,Deerfield Beach,75018,1216725,16.8,21.3,25.7,28.4,39.3
2014,FL,Deltona,85182,1217200,19.2,23.0,25.9,27.3,37.1
2014,FL,Fort Lauderdale,165521,1224000,17.5,19.2,23.2,27.5,38.3
2014,FL,Gainesville,124354,1225175,16.3,19.7,22.6,27.9,36.2
2014,FL,Hialeah,224669,1230000,14.2,17.6,34.7,32.2,36.7
2014,FL,Hollywood,140768,1232000,17.3,17.9,24.0,26.8,37.5
2014,FL,Jacksonville,821784,1235000,17.4,21.1,25.5,30.6,37.8
2014,FL,Lakeland,97422,1238250,16.7,21.9,26.0,31.2,37.8
2014,FL,Largo,77648,1239425,20.2,23.9,22.3,28.0,37.5
