State,CityName,Population2010,cityfips,BingeDrinking,SmokingRate,NoPhysicalActivity,ObesityRate,SleepDeprivation,GeoCode,Cancer,Cardiovascular,Depression,Diabetes,Diarrhea,Obesity,Rehab,Stroke,Vaccine
NE,Omaha,408958,3137000,20.9,20.4,22.3,30.6,32.8,652,76,34,60,70,73,45,70,60,60
PA,Philadelphia,1526006,4260000,17.5,25.5,29,33.9,44.3,504,81,39,62,70,66,44,83,57,68
AZ,Phoenix,1445632,455000,14.5,19.6,24.1,30.1,35.6,753,69,47,58,68,68,45,63,57,55
PA,Pittsburgh,305704,4261000,18.9,23.1,24.6,33.1,40.5,508,82,40,67,70,71,43,77,70,71
OR,Portland,583776,4159000,20.4,17.9,15.4,24.3,29.2,820,41,21,33,47,34,24,29,36,38
SD,Rapid City,67956,4652980,17.9,22.1,20.3,28.1,28.6,764,61,28,70,66,76,34,63,64,70
NV,Reno,225221,3260600,19,19.3,20.3,22.8,33.7,811,67,24,52,66,71,38,47,63,56
NY,Rochester,210565,3663000,14.3,22.8,30.1,38.6,42.4,538,82,37,63,71,64,55,47,62,67
IL,Rockford,152871,1765000,18,22.4,31.1,37.5,37.3,610,78,40,68,78,74,41,54,54,64
UT,Salt Lake City,186440,4967000,11.6,11.2,19,28.2,32,770,60,37,67,69,67,44,65,57,56
TX,San Angelo,93200,4864472,16.8,18.7,28.7,34.2,33.5,661,66,39,66,75,99,31,98,54,54
TX,San Antonio,1327407,4865000,15.7,15.2,29.5,32.9,36.8,641,66,41,51,77,67,39,66,53,57
CA,San Diego,1307402,666000,17.3,13.1,21,22.2,34.6,825,67,42,55,65,61,45,48,51,60
GA,Savannah,136286,1369000,13.5,21,26.9,36,44.6,507,73,46,60,64,70,51,54,64,62
LA,Shreveport,199311,2270000,15.7,25.9,31.7,37.1,40.7,612,71,50,67,71,73,51,59,63,52
IA,Sioux City,82684,1973335,19.7,22.8,27.7,35.5,33.2,624,75,55,69,73,70,54,50,55,55
WA,Spokane,208916,5367000,18.5,19.6,19.7,32.6,32.9,881,68,37,67,73,62,54,53,64,66
MO,Springfield,159498,2970000,15.1,24.4,26.2,35.9,34.6,619,72,45,69,74,73,48,59,71,68
MO,St. Joseph,76780,2964550,15.6,24.8,27.9,32.4,37.9,638,82,64,77,71,91,31,68,65,72
MO,St. Louis,319294,2965000,14.9,24.9,27.6,37,39,609,75,34,59,68,72,39,71,60,58
NY,Syracuse,145170,3673000,14.8,24.1,30.7,33.7,39.7,555,82,41,69,71,64,58,49,62,67
OH,Toledo,287208,3977000,17.4,25.5,32.5,41,40.2,547,76,49,69,76,67,59,74,66,64
KS,Topeka,127473,2071000,14.6,24.1,26.1,34.9,31.4,605,69,35,64,63,70,47,52,61,66
OK,Tulsa,391906,4075000,13.4,21.4,28.1,31.7,36.6,671,63,38,57,64,62,33,50,58,53
DC,Washington,601723,1150000,20.3,18,20.5,25.4,35.2,51
